order_id,order_date,region,product,quantity,unit_price,customer_email,phone,total_amount
ORD-00001,2025-04-13,Cebu,Cooking Oil 1L,5,562.36,customer0@outlook.ph,09216066793,2811.8
ORD-00002,2025-12-15, ncr ,Rice 25kg,16,606.34,customer1@gmail.com,09510751046,9701.44
ORD-00003,2025-09-28,Iloilo,Cooking Oil 1L,1,1049.29,customer2@gmail.com,09141580226,1049.29
ORD-00004,2025-04-17,Davao,Sugar 1kg,14,595.07,customer3@outlook.ph,09605399561,8330.98
ORD-00005,2025-03-13,Iloilo,Instant Coffee,15,684.07,customer4@yahoo.com,09338836384,10261.05
ORD-00006,2025-07-08,Iloilo,Canned Sardines,9,371.57,customer5@gmail.com,09314289692,3344.13
ORD-00007,2025-01-21,Cebu,Sugar 1kg,15,572.41,customer6@gmail.com,09976803188,8586.15
ORD-00008,2025-04-13,Davao,Rice 25kg,17,356.36,customer7@gmail.com,09594246837,6058.12
ORD-00009,2025-05-02,Iloilo,Rice 25kg,4,128.33,customer8@outlook.ph,09475442872,513.32
ORD-00010,2025-08-03,NCR,Rice 25kg,12,913.1,customer9@gmail.com,09427696198,10957.2
ORD-00011,2025-11-27,NCR,Rice 25kg,5,1008.95,customer10@outlook.ph,09981044229,5044.75
ORD-00012,2025-03-29,Baguio,Rice 25kg,5,936.85,customer11@outlook.ph,09953995721,4684.25
ORD-00013,2025-04-10,Davao,Cooking Oil 1L,11,705.97,customer12@outlook.ph,09344378798,7765.67
ORD-00014,2025-12-26,Davao,Sugar 1kg,6,582.08,customer13@gmail.com,09339362341,3492.48
ORD-00015,2025-06-01,Baguio,Canned Sardines,7,1297.73,customer14@outlook.ph,09125409494,9084.11
ORD-00016,2025-05-11,Iloilo,Instant Coffee,14,788.24,customer15@yahoo.com,09808705238,11035.36
ORD-00017,2025-05-30,Davao,Instant Coffee,11,729.19,customer16@gmail.com,09307371533,8021.09
ORD-00018,2025-11-05,NCR,Sugar 1kg,13,57.95,customer17@gmail.com,09527849588,753.35
ORD-00019,2025-09-15,NCR,Sugar 1kg,2,525.05,customer18@gmail.com,09452468587,1050.1
ORD-00020,2025-12-10,Cebu,Instant Coffee,7,582.69,customer19@gmail.com,09399147754,4078.83
ORD-00021,2025-10-21,Davao,Instant Coffee,4,610.26,customer20@gmail.com,09174539964,2441.04
ORD-00022,2025-07-11,Iloilo,Cooking Oil 1L,8,878.66,customer21@outlook.ph,09930353157,7029.28
ORD-00023,2025-10-04,Baguio,Laundry Soap,19,809.73,customer22@outlook.ph,09399708182,15384.87
ORD-00024,2025-06-10,Baguio,Canned Sardines,13,919.7,customer23@gmail.com,09477040284,11956.1
ORD-00025,2025-11-10,Iloilo,Rice 25kg,14,1152.03,customer24@outlook.ph,09788785773,16128.42
ORD-00026,2025-01-22,Cebu,Laundry Soap,10,1223.22,customer25@gmail.com,09646970178,12232.2
ORD-00027,2025-09-10,Baguio,Sugar 1kg,11,1082.82,customer26@outlook.ph,09529151399,11911.02
